,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
328,21000,EUR,27900,Cabin Boat,Kelt power boats,Used boat,1992,8.8,2.98,GRP,Netherlands,146
333,22000,EUR,28546,Water ski,Correct Craft power boats,"Used boat,Unleaded",2007,6,2.33,GRP,Germany,141
335,22000,EUR,28500,Flybridge,Riva power boats,"Used boat,Diesel",1978,10.45,3.43,GRP,Italy,352
336,22000,EUR,28500,Motor Yacht,Cytra power boats,"Used boat,Diesel",1979,9.5,3.2,GRP,Germany,190
337,22000,EUR,28500,Center console boat,Crownline power boats,"Used boat,Unleaded",1996,7.5,2.59,GRP,Italy,111
338,22000,EUR,28500,Sport Boat,Ilver power boats,"Used boat,Unleaded",1989,7,2.48,GRP,Italy,100
341,22000,EUR,28500,Motor Yacht,Tullio Abbate power boats,Unleaded,1991,10.8,2.5,GRP,Germany,373
344,22880,EUR,28500,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.47,2.29,GRP,Germany,86
345,22850,EUR,28500,Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.65,2.2,GRP,Germany,140
347,22800,EUR,29000,Deck Boat,Yamarin power boats,new boat from stock,2020,5.28,2.09,Aluminium,Germany,114
348,22772,EUR,29000,Pontoon Boat,Sunchaser power boats,"new boat from stock,Unleaded",2018,5.18,2.29,Aluminium,Portugal,87
349,22765,EUR,29000,Pilothouse,Jeanneau power boats,new boat on order,2020,5.79,2.46,GRP,Germany,49
351,22700,EUR,29000,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,7.15,2.51,PVC,France,110
352,22680,EUR,29000,Motor Yacht,Master power boats,new boat on order,2020,5.42,2.32,GRP,France,142
353,24500,CHF,29000,Offshore Boat,Baja power boats,"Used boat,Unleaded",1988,7.28,2.54,GRP,Switzerland,422
354,24500,CHF,29000,Classic,Chris Craft power boats,"Used boat,Unleaded",1976,9.3,3.4,GRP,Switzerland,417
355,24500,CHF,29000,"Cabin Boat,Sport Boat,Wakeboard/Wakesurf",Galeon power boats,"Used boat,Unleaded",2015,6.19,2.48,GRP,Switzerland,867
356,22520,EUR,29000,Deck Boat,Yamarin power boats,new boat from stock,2020,6.25,2.3,GRP,Germany,107
357,23640,EUR,29000,Bowrider,Nordkapp power boats,new boat from stock,2017,6.06,2.2,GRP,Germany,109
358,25500,CHF,29000,Sport Boat,Regal power boats,"Used boat,Unleaded",2001,5.78,2.5,GRP,Switzerland,483
359,23530,EUR,29900,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,4.54,1.85,GRP,Germany,84
361,23500,EUR,29900,Trawler,Cascaruda power boats,Diesel,1982,9.3,3,Steel,Germany,164
362,25000,CHF,29900,Pilothouse,Nidelv power boats,"Used boat,Diesel",1988,8.66,3.04,GRP,Switzerland,507
363,25000,CHF,29900,Sport Boat,Windy power boats,"Used boat,Unleaded",1997,7.85,2.54,GRP,Switzerland,771
364,25000,CHF,29800,Sport Boat,Wellcraft power boats,Used boat,1992,8.35,2.5,GRP,Switzerland,420
365,25000,CHF,29800,Classic,Schneiter power boats,Used boat,1965,6,1.9,Wood,Switzerland,284
366,25000,CHF,29800,Fishing Boat,The Captains power boats,new boat on order,2020,6.6,1.85,GRP,Switzerland,888
367,23290,EUR,29650,Deck Boat,AMT power boats,new boat from stock,2019,5.6,2.25,GRP,Germany,84
368,24900,CHF,29500,Offshore Boat,Bruno Abbate power boats,"Used boat,Unleaded",1995,9.25,2.65,GRP,Switzerland,273
369,25990,CHF,30000,Sport Boat,Faeton power boats,"Used boat,Unleaded",2006,7.3,2.75,GRP,Switzerland,485
373,26000,CHF,30000,Cabin Boat,Nidelv power boats,"Used boat,Unleaded",1995,7.5,2.5,GRP,Switzerland,607
374,26000,CHF,30000,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,7.55,2.51,GRP,Switzerland,187
375,25950,CHF,30000,Fishing Boat,ERC power boats,new boat from stock,2020,5.3,2,GRP,Switzerland,198
376,24000,EUR,30000,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2005,7.2,2.53,PVC,France,99
377,24000,EUR,30000,Motor Yacht,Marex power boats,"Used boat,Diesel",1984,7.68,2.78,GRP,Germany,90
379,24000,EUR,30000,Pilothouse,Jeanneau power boats,"Used boat,Diesel",1989,7.5,2.9,PVC,France,104
380,24000,EUR,30000,Pilothouse,Bayliner power boats,"Used boat,Unleaded",2006,7.26,2.59,PVC,France,87
382,24000,EUR,30000,"Classic,Pontoon Boat",Piantoni power boats,"Used boat,Unleaded",1968,5.65,2.05,Wood,Italy,143
383,24000,EUR,30000,Pontoon Boat,Sciallino power boats,"Used boat,Diesel",1987,7.5,2.45,GRP,Italy,87
384,24900,EUR,30000,"Classic,Motor Yacht",Storebro power boats,"Used boat,Unleaded",1961,7.25,2.25,Wood,Germany,199
385,24900,EUR,30900,Motor Yacht,IMP Boats power boats,"Used boat,Unleaded",1990,8,2.5,GRP,Germany,84
387,24900,EUR,30900,Sport Boat,Viko power boats,"Used boat,Unleaded",2017,6.1,2.5,GRP,Germany,138
388,24900,EUR,30825,Pontoon Boat,Cantieri Nautici Ferrario power boats,new boat from stock,2018,6.5,2.4,GRP,Italy,110
389,24900,EUR,30820,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.05,2.42,GRP,Italy,69
390,24900,EUR,30810,Cabin Boat,Formula power boats,"Used boat,Unleaded",1995,8.61,2.9,GRP,Spain,93
391,24900,EUR,30699,Water ski,Correct Craft power boats,"Used boat,Unleaded",1995,5,2,GRP,Germany,260
392,24900,EUR,32000,Motor Yacht,Bella power boats,Used boat,2008,6.5,2.42,GRP,Croatia,119
394,24900,EUR,32000,"Motor Yacht,Sport Boat,Trawler",Sea Ray power boats,"Used boat,Unleaded",1996,8.9,2.9,GRP,Italy,605
396,24900,EUR,31900,Sport Boat,Faeton power boats,"Used boat,Unleaded",2002,7.39,2.66,GRP,Germany,100
397,24900,EUR,31900,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",2007,7.07,2.78,PVC,France,161
398,24900,EUR,31900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.05,2.42,GRP,Switzerland,48
400,25000,EUR,31900,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1998,7.5,2.5,GRP,Italy,100
401,25000,EUR,31830,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2007,6.66,2.64,PVC,France,103
402,25000,EUR,32500,Bowrider,Glastron power boats,"Used boat,Unleaded",2007,6,2,PVC,Portugal,287
404,25000,EUR,32500,Flybridge,Dellapasqua power boats,"Used boat,Unleaded",1996,8.22,2.99,GRP,Italy,169
405,25000,EUR,32500,Sport Boat,Colombo power boats,"Used boat,Unleaded",1986,6.4,2.2,GRP,Italy,181
406,25000,EUR,32500,Sport Boat,Saver power boats,Used boat,2001,7.45,2.64,GRP,Italy,94
407,25000,EUR,32500,Sport Boat,Bayliner power boats,Used boat,1991,9.81,3.41,GRP,Slovenia,197
412,25000,EUR,32500,Cabin Boat,Scand power boats,Used boat,1983,7.62,2.8,GRP,Netherlands,160
413,25000,EUR,32490,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,7.65,2.5,GRP,Italy,271
414,25000,EUR,33000,Launch,Campion power boats,"Used boat,Unleaded",2001,7.38,2.62,GRP,Spain,170
415,25000,EUR,33000,Flybridge,Raffaelli power boats,"Used boat,Diesel",1979,10.6,3.6,GRP,Italy,231
416,28000,CHF,33000,"Cabin Boat,Motor Yacht",Sea Ray power boats,"Used boat,Unleaded",1996,8.05,2.59,Plastic,Switzerland,1136
419,25900,EUR,33000,Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1995,8.05,2.59,GRP,Germany,278
420,25900,EUR,33000,Fishing Boat,Trophy power boats,"Used boat,Unleaded",2008,7.14,2.57,GRP,Slovenia,195
422,25900,EUR,33000,Center console boat,Bayliner power boats,"new boat from stock,Unleaded",2018,6,2,PVC,France,80
423,25900,EUR,33000,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.9,9.9,GRP,Germany,140
424,25900,EUR,33000,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1987,8.26,2.57,GRP,Germany,321
425,25900,EUR,33000,Sport Boat,Regal power boats,"Used boat,Unleaded",2007,6.7,2.5,PVC,France,165
427,25900,EUR,33000,Motor Yacht,Draco power boats,"Used boat,Diesel",1991,6.77,2.28,GRP,Germany,187
429,25900,EUR,33000,Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1995,7.6,2.59,GRP,Germany,217
430,26800,EUR,33000,Pontoon Boat,Saver power boats,new boat from stock,2020,6.6,2.45,GRP,Italy,94
432,28900,CHF,33000,Pilothouse,Drago Boats power boats,"new boat from stock,Unleaded",2017,5.1,2.13,GRP,Switzerland,138
433,28900,CHF,34000,Center console boat,Morningstar power boats,"new boat from stock,Unleaded",2019,4.98,2,Aluminium,Switzerland,173
434,28900,CHF,34000,Water ski,Nautique power boats,"Used boat,Unleaded",1996,2.32,5.6,GRP,Switzerland,205
435,28900,CHF,34000,Center console boat,Morningstar power boats,new boat from stock,2019,5,2,Aluminium,Switzerland,158
436,28900,CHF,34000,Cabin Boat,Galaxy power boats,"Used boat,Unleaded",1990,8.1,2.45,GRP,Switzerland,654
437,26700,EUR,34000,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,Italy,97
439,26700,EUR,34000,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,6.5,2.4,GRP,Switzerland,137
440,26620,EUR,33900,Deck Boat,Sessa power boats,new boat from stock,2020,6.1,2.33,GRP,Italy,224
441,28500,CHF,33900,Bowrider,Clear power boats,"Used boat,Unleaded",2014,6.15,2.2,GRP,Switzerland,549
442,28700,CHF,33900,Bowrider,Bella power boats,Display Model,2018,5.3,2.2,GRP,Switzerland,198
443,26537,EUR,33900,Center console boat,Jeanneau power boats,new boat from stock,2020,6.77,2.48,GRP,Germany,55
445,29500,CHF,34900,Fishing Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.6,1.85,Aluminium,Switzerland,191
446,29500,CHF,34900,Motor Yacht,Quicksilver power boats,"Used boat,Unleaded",2018,5.47,2.29,GRP,Switzerland,304
447,29500,CHF,34900,Cabin Boat,Carver power boats,"Used boat,Unleaded",1996,8.43,2.62,GRP,Switzerland,276
448,29500,CHF,34900,Motor Yacht,Windy power boats,"Used boat,Unleaded",1989,9.1,3,GRP,Switzerland,457
449,29500,CHF,34900,Hardtop,Bella power boats,"Used boat,Diesel",2002,6.3,2.25,Plastic,Switzerland,973
450,27120,EUR,34900,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,Germany,56
451,29200,CHF,34900,Fishing Boat,Smartliner power boats,new boat from stock,2020,6.28,2.24,GRP,Switzerland,228
452,27000,EUR,34900,Motor Yacht,Fairline power boats,"Used boat,Diesel",1981,9.8,3.3,GRP,Germany,128
453,27000,EUR,34900,Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1992,9.5,3.29,GRP,Italy,120
455,27900,EUR,34900,Working Boat,Viking power boats,new boat from stock,2020,7.52,2.43,Aluminium,Germany,227
456,27900,EUR,34828,Sport Boat,Sting power boats,new boat from stock,2016,6.08,2.37,GRP,Germany,111
458,27900,EUR,34800,Pilothouse,Marinello power boats,new boat from stock,2018,6.5,2.48,GRP,Germany,308
459,27900,EUR,34800,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.05,2.4,GRP,Italy,41
461,27900,EUR,35000,Motor Yacht,Doral power boats,"Used boat,Unleaded",1991,8.25,2.89,GRP,Netherlands,131
462,27900,EUR,35000,Sport Boat,Sunseeker power boats,"Used boat,Diesel",1992,8.78,2.75,GRP,Germany,377
464,27900,EUR,35000,Cabin Boat,Bella power boats,"Used boat,Diesel",2007,7.05,2.47,GRP,Germany,294
466,29900,CHF,35000,"Classic,Sport Boat,Water ski",Boesch power boats,"Used boat,Unleaded",1983,5.7,2.2,Wood,Switzerland,511
467,29900,CHF,35000,Offshore Boat,Seebold power boats,"Used boat,Unleaded",1992,7.75,2.48,GRP,Switzerland,359
469,31000,CHF,35000,Sport Boat,Nidelv power boats,"Used boat,Diesel",2001,6.1,2.3,GRP,Switzerland,385
470,28546,EUR,35000,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,6.43,2.5,PVC,France,27
471,28500,EUR,35000,Working Boat,Viking power boats,new boat from stock,2020,7.65,2.48,Aluminium,Germany,252
473,28500,EUR,35000,Sport Boat,Bayliner power boats,"Used boat,Diesel",1997,8.69,3,GRP,Croatia,169
474,28500,EUR,35000,Sport Boat,ManÃ² power boats,"Used boat,Unleaded",2005,9.2,3,GRP,Italy,81
475,28500,EUR,35000,Deck Boat,Marinello power boats,"Used boat,Unleaded",2012,5.8,2.29,GRP,Germany,93
477,28500,EUR,35000,Sport Boat,Cranchi power boats,"Used boat,Unleaded",1992,9,3,GRP,Croatia,143
479,28500,EUR,35000,Cabin Boat,Maxum power boats,"Used boat,Unleaded",1993,7.2,2.5,GRP,Switzerland,286
480,28500,EUR,35499,Motor Yacht,Larson power boats,"Used boat,Unleaded",1998,8.83,3.04,GRP,Germany,241
481,29000,EUR,35450,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2018,6.75,2.54,GRP,Italy,161
482,29000,EUR,35419,Pontoon Boat,Seaswirl power boats,"Used boat,Diesel",2010,7,2.55,GRP,Italy,194
483,29000,EUR,35400,Cabin Boat,Bella power boats,"Used boat,Diesel",2005,7.05,2.47,GRP,Netherlands,196
485,29000,EUR,35250,Motor Yacht,Princess power boats,"Used boat,Diesel",1979,11,3.78,GRP,Croatia,314
486,29000,EUR,35200,Sport Boat,Cobalt power boats,"Used boat,Unleaded",2001,6.86,2.59,GRP,Italy,119
488,29000,EUR,35200,Cabin Boat,Apreamare power boats,"Used boat,Diesel",1993,8.05,2.85,GRP,Italy,205
489,29000,EUR,36414,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2000,7.57,2.59,GRP,Italy,64
490,29000,EUR,36250,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1990,9.2,3.25,GRP,Italy,233
491,29000,EUR,36000,Pilothouse,Polar Boats power boats,"Used boat,Diesel",1987,8.77,3.18,GRP,Germany,199
493,29000,EUR,37000,Pilothouse,Faeton power boats,"Used boat,Unleaded",2000,7.9,2.8,PVC,Spain,87
494,29000,EUR,37000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2009,7.01,2.5,PVC,Belgium,393
498,29900,EUR,37000,Sport Boat,Boston Whaler power boats,"Used boat,Unleaded",1992,7.85,2.47,PVC,France,100
499,29900,EUR,37000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,6.96,2.55,GRP,Germany,851
500,29900,EUR,37000,Cabin Boat,Skarpnes power boats,Used boat,1984,9.1,3.3,GRP,Netherlands,94
501,29900,EUR,37000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,8.23,3.05,GRP,Germany,90
503,29800,EUR,38000,Sport Boat,Saver power boats,"Display Model,Unleaded",2019,5.6,2.23,GRP,Germany,87
504,29800,EUR,38000,Bowrider,Jeanneau power boats,"Used boat,Unleaded",2018,5.21,2.36,PVC,France,46
505,29800,EUR,38000,Sport Boat,Nidelv power boats,"Used boat,Unleaded",2005,6.26,2.3,GRP,Germany,622
507,29650,EUR,38000,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.07,2.12,GRP,Germany,102
508,32000,CHF,38000,Sport Boat,Ranieri power boats,"Used boat,Unleaded",2018,5.65,2.2,GRP,Switzerland,288
509,220000,DKK,38000,Motor Yacht,Regal power boats,"Used boat,Unleaded",1999,8.75,2.85,GRP,Denmark,382
510,29500,EUR,38000,Sport Boat,Rancraft power boats,"Used boat,Unleaded",2001,7.5,2.59,GRP,Belgium,146
511,30000,EUR,38000,Classic,Storebro power boats,"Used boat,Unleaded",1954,7.5,2.4,Wood,Germany,87
513,30000,EUR,38000,Motor Yacht,Blumar power boats,"Used boat,Unleaded",2008,8.01,2.85,GRP,Italy,253
514,30000,EUR,38900,Cabin Boat,Crownline power boats,"Used boat,Unleaded",1995,8.13,2.5,GRP,Germany,677
515,30000,EUR,38900,"Classic,Sport Boat",Ilver power boats,"Used boat,Unleaded",1978,7.8,2.67,GRP,Netherlands,313
516,30000,EUR,38900,Motor Yacht,Blohm + Voss power boats,"Used boat,Unleaded",1970,10,3.25,GRP,Germany,324
517,30000,EUR,38794,Sport Boat,Arvor power boats,"Used boat,Diesel",2008,7,2,GRP,Croatia,87
518,30000,EUR,38748,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2001,9.4,2.96,PVC,France,122
519,30000,EUR,38700,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,9,3,GRP,Italy,234
520,30000,EUR,39000,Sport Boat,Slepsk power boats,"Used boat,Electric",2010,5.87,2.32,GRP,Austria,144
521,30000,EUR,39000,Pontoon Boat,Acroplast power boats,"Used boat,Electric",2015,7.8,2.5,GRP,France,137
522,30000,EUR,39000,Motor Yacht,Wellcraft power boats,"Used boat,Diesel",1991,10.2,3.5,GRP,Italy,162
525,30900,EUR,39000,Deck Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2018,5.5,2.34,PVC,France,69
526,30900,EUR,39000,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1979,10,3.5,GRP,Germany,167
527,30825,EUR,39000,Bowrider,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,Germany,65
528,30820,EUR,39000,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,5.07,2.12,GRP,Germany,62
529,30810,EUR,39000,Motor Yacht,Parker power boats,"new boat from stock,Unleaded",2019,6.05,2.25,GRP,Germany,71
531,33000,CHF,39000,Cabin Boat,Hollandia power boats,"Used boat,Diesel",1991,10.3,3.3,Steel,Switzerland,576
532,27995,Â£,39000,Hardtop,Hardy Marine power boats,"Used boat,Diesel",1996,8.38,3.2,PVC,Spain,131
533,30699,EUR,39888,Bowrider,Bayliner power boats,"new boat on order,Unleaded",2020,5.7,2.26,GRP,Germany,136
534,33000,CHF,39800,Motor Yacht,Regal power boats,"Used boat,Unleaded",1989,8.5,2.55,GRP,Canada,1033
535,32730,CHF,39750,Fishing Boat,FÃ¼llemann power boats,new boat from stock,2018,6.03,1.9,GRP,Switzerland,164
538,32000,EUR,39500,Sport Boat,Gobbi power boats,Unleaded,1996,8.73,2.98,GRP,Germany,64
539,32000,EUR,39500,Sport Boat,Bayliner power boats,"Used boat,Diesel",1995,7,2.59,Carbon Fiber,Spain,150
540,34500,CHF,39500,Cabin Boat,Bella power boats,Used boat,2005,6.5,2.42,GRP,Switzerland,535
541,31900,EUR,39999,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2000,9,2,GRP,Croatia,295
542,31900,EUR,39999,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2010,7.23,2.78,PVC,France,74
543,31900,EUR,39990,Sport Boat,Cobalt power boats,"Used boat,Unleaded",1999,7.62,2.59,GRP,Germany,146
544,31900,EUR,39950,Sport Boat,Larson power boats,"Used boat,Unleaded",2001,6.7,2.5,Plastic,Germany,225
545,31830,EUR,39922,Bowrider,Galia power boats,"new boat from stock,Unleaded",2019,5.2,2.1,GRP,Switzerland,166
546,29000,Â£,39900,Pilothouse,Jeanneau power boats,"Used boat,Diesel",2002,6.99,2.76,PVC,United state,105
548,34340,CHF,39900,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.12,2.4,GRP,Switzerland,158
549,34000,CHF,39900,Sport Boat,Ilver power boats,"Used boat,Unleaded",1984,10.8,3.1,GRP,Switzerland,280
550,32500,EUR,39900,Trawler,Pedro power boats,Used boat,1982,8.6,2.8,Steel,Netherlands,146
551,32500,EUR,40999,Pontoon Boat,Cantieri Nautici Ferrario power boats,"new boat from stock,Unleaded",2019,6.5,2.4,GRP,Italy,36
553,32500,EUR,40900,Cabin Boat,Coverline power boats,"Used boat,Diesel",2006,7.6,2.5,GRP,Germany,175
554,32500,EUR,40800,Runabout,AYROS power boats,new boat from stock,2019,6.99,2.55,GRP,Italy,81
558,32500,EUR,40650,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1991,9.95,2.74,GRP,Germany,396
562,32500,EUR,40500,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2002,8.76,3,PVC,Netherlands,212
564,32490,EUR,40465,Center console boat,Pacific Craft power boats,"Used boat,Unleaded",2018,6.24,2.5,PVC,France,36
565,33000,EUR,40410,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2007,7.3,2.55,PVC,Slovak,113
566,33000,EUR,41900,Flybridge,Fiart Mare power boats,"Used boat,Diesel",1989,11.34,3.68,GRP,Italy,139
568,33000,EUR,41900,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2015,5.79,2.46,PVC,France,74
571,33000,EUR,41900,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,7.62,2.56,GRP,Greece,165
572,33000,EUR,41900,Sport Boat,Antaris power boats,"Used boat,Unleaded",2008,7,2,GRP,Croatia,63
573,33000,EUR,41900,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2012,7.23,2.78,PVC,France,101
574,33000,EUR,41900,Sport Boat,IRON power boats,new boat on order,2020,6.52,2.44,GRP,Germany,87
575,33000,EUR,41900,Center console boat,Ranieri power boats,"Used boat,Unleaded",2013,8.05,2.5,PVC,France,107
576,33000,EUR,41884,Cabin Boat,Cranchi power boats,"Used boat,Unleaded",2000,9.1,2.9,GRP,Italy,118
577,33000,EUR,41766,"Sport Boat,Wakeboard/Wakesurf",MasterCraft power boats,"Used boat,Unleaded",2006,6.1,2.5,Carbon Fiber,Poland,596
578,33000,EUR,41666,"Pilothouse,Sport Boat",Arvor power boats,"Used boat,Diesel",2012,7.3,2.78,GRP,Germany,267
579,33000,EUR,42499,"Cabin Boat,Motor Yacht",Coverline power boats,"Used boat,Diesel",2004,8.39,2.39,GRP,Austria,403
580,33000,EUR,42300,Sport Boat,Cranchi power boats,Used boat,2002,8.5,3,GRP,Italy,187
581,34000,EUR,42300,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2017,5.72,2.4,PVC,Spain,75
582,34000,EUR,42200,Deck Boat,Sunchaser power boats,Used boat,2019,6.17,2.5,Aluminium,Italy,80
583,34000,EUR,43000,Sport Boat,ST power boats,"Used boat,Unleaded",2012,7.65,2.98,PVC,France,70
584,34000,EUR,43000,Cabin Boat,Chaparral power boats,"Used boat,Diesel",1993,9.2,3,GRP,Germany,166
585,34000,EUR,43000,Cabin Boat,Rinker power boats,"Used boat,Unleaded",2002,7.3,3.52,GRP,Rostock,395
587,34000,EUR,43000,Cabin Boat,Maxum power boats,"Used boat,Unleaded",2005,7.92,2.59,GRP,Germany,284
591,33900,EUR,43000,Sport Boat,Rio power boats,"Used boat,Unleaded",2005,7.9,2.55,GRP,Germany,248
592,33900,EUR,43000,Cabin Boat,Chaparral power boats,"Used boat,Unleaded",1997,9.5,3,GRP,Germany,272
593,33900,EUR,43000,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2004,8,2,GRP,Croatia,244
