,Price,Currency,Euro_Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
2826,570000,EUR,995000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2008,19.2,4.9,GRP,Greece,58
2827,570000,EUR,990000,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2003,26.59,6.17,GRP,Italy,137
2828,570000,EUR,990000,Trawler,BÃ©nÃ©teau power boats,"Used boat,Diesel",2011,17,4.9,PVC,France,131
2829,595000,EUR,990000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,18.9,5,GRP,Spain,56
2830,595000,EUR,990000,Mega Yacht,Vitech power boats,"Used boat,Diesel",2008,23.47,5.33,GRP,Spain,117
2831,595000,EUR,990000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2018,14.29,4.3,PVC,France,106
2832,595000,EUR,990000,Motor Yacht,Azimut power boats,"Used boat,Diesel",2007,21.59,5.41,GRP,Greece,53
2833,595000,EUR,990000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,22.25,5.21,GRP,Greece,64
2835,595000,EUR,990000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.27,PVC,France,52
2836,595000,EUR,990000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.27,PVC,France,102
2839,594000,EUR,990000,Flybridge,Princess power boats,"Used boat,Diesel",2006,20.45,5.23,GRP,Spain,122
2840,590000,EUR,990000,Motor Yacht,Fairline power boats,"Used boat,Diesel",2008,17.92,4.85,GRP,Spain,127
2842,590000,EUR,990000,Flybridge,Princess power boats,"Used boat,Diesel",2006,20.43,5.2,GRP,France,72
2843,625000,EUR,990000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2007,17.53,5,GRP,Malta,34
2845,625000,EUR,975000,Cabin Boat,Nimbus power boats,"new boat on order,Diesel",2020,13.16,3.75,GRP,Sweden,236
2847,4600000,DKK,975000,Motor Yacht,Abacus power boats,Used boat,2010,18.66,5,GRP,Italy,55
2848,562352,Â£,960000,Flybridge,Prestige Yachts power boats,"new boat from stock,Diesel",2018,15.19,4.5,PVC,United state,74
2850,615000,EUR,960000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2019,12.54,4.25,PVC,France,51
2851,4573125,DKK,950000,Flybridge,Greenline power boats,"new boat from stock,Unleaded",2020,14.43,4.49,GRP,Denmark,149
2852,560000,Â£,950000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,16.18,4.3,GRP,United state,74
2854,610000,EUR,950000,Hardtop,Mochi Craft power boats,Used boat,2008,16.46,4.9,GRP,Italy,41
2855,610000,EUR,950000,Flybridge,Sanlorenzo power boats,"Used boat,Diesel",2007,19.2,5.2,GRP,Italy,45
2856,549950,Â£,950000,Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2016,15.19,4.5,PVC,United state,41
2857,600240,EUR,950000,Motor Yacht,Fjord power boats,"new boat on order,Diesel",2020,13.45,4.24,PVC,France,102
2859,650000,EUR,950000,Motor Yacht,Jongert power boats,"Used boat,Diesel",1996,19.03,6.2,Steel,Netherlands,44
2861,650000,EUR,950000,Flybridge,Spertini power boats,"Used boat,Diesel",2003,21.9,5.45,GRP,Italy,22
2862,650000,EUR,950000,Hardtop,Prestige Yachts power boats,"Used boat,Diesel",2017,15.2,4.5,PVC,France,106
2863,650000,EUR,949000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2008,19.06,5,GRP,Croatia,50
2866,650000,EUR,949000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2011,17.6,4.63,GRP,Croatia,54
2869,650000,EUR,945000,Motor Yacht,Sanlorenzo power boats,"Used boat,Diesel",2003,22,5.61,GRP,France,45
2870,649500,EUR,945000,Trawler,Linssen power boats,Used boat,2005,14.95,4.88,Steel,Netherlands,88
2872,649000,EUR,930000,Flybridge,Sunseeker power boats,"Used boat,Diesel",2006,19.9,5.1,GRP,Netherlands,156
2873,750000,CHF,895000,Motor Yacht,Draco power boats,"Used boat,Unleaded",1983,9,3.2,GRP,Switzerland,224
2875,690000,EUR,895000,Flybridge,Ferretti power boats,"Used boat,Diesel",2010,17.86,5.25,GRP,Croatia,89
2876,690000,EUR,895000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,22.25,5.41,GRP,Spain,49
2878,690000,EUR,892500,Motor Yacht,Princess power boats,"Used boat,Diesel",2008,21.69,5.08,GRP,Italy,78
2879,690000,EUR,891000,Motor Yacht,Pershing power boats,"Used boat,Diesel",2013,15,4.2,GRP,Spain,73
2882,690000,EUR,890000,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2010,18.29,4.97,GRP,France,108
2883,690000,EUR,890000,Flybridge,Tarquin power boats,"Used boat,Diesel",1998,25.8,5.75,GRP,Greece,82
2884,689000,EUR,890000,Flybridge,Sealine power boats,"new boat on order,Diesel",2020,13.9,4.48,GRP,Croatia,161
2885,686000,EUR,890000,Flybridge,BÃ©nÃ©teau power boats,"Used boat,Diesel",2017,15.1,4.32,PVC,France,35
2886,625000,Â£,890000,Motor Yacht,Sealine power boats,"Used boat,Diesel",2017,16.15,4.3,GRP,France,97
